BASEPARTNUMBER,PLANTCODE,PROCESSLOCATION1,RCMID,PACKRANKNAME,PACKTYPECODE,CONTAINERQUANTITY,CONTAINERPERPALLET,PARTWEIGHT,TDPVERSION,PERPACKDUNNAGEPIECES,PACKLENGTH,PACKWIDTH,PACKHEIGHT,PACKEMPTYWEIGHT,CONTAINERSPERPALLET,QUANTITYPERCONTAINER,TOOLINGNUMBER,CELLDIMLENGTH,CELLDIMWIDTH,CELLDIMHEIGHT,OVERALLPACKLENGTH,OVERALLPACKWIDTH,OVERALLPACKHEIGHT,OVERALLPACKWEIGHT,PALLETWEIGHT,TRAILERSTACKING
39920TZ3 A000M1,MAP,20140901,XX,D,XX,15,4,0.5000,1,0,20.5,12.5,4.25,1,4,15,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,NULL
39920TZ4 A000M1,MAP,20140901,XX,D,XX,15,4,0.5000,1,0,20.5,12.5,4.25,1,4,15,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,NULL
39920TZ7 A000M1,MAP,20140901,XX,D,XX,15,4,0.5000,1,0,20.5,12.5,4.25,1,4,15,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,NULL
39940STX A000M1,MAP,14029024,XX,D,XX,60,1,0.4000,1,0,18.19,6.69,3.35,1.98,1,60,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1
39944TGV A000,MAP,12051001,D1,C,D1,60,32,0.2000,1,0,23.75,11.12,7.25,5.8,8,60,120,0,0,0,45.0000,48.0000,32.5000,241.6000,56.0000,3
39980T3R A000M1,MAP,14082301,A5005562,BR,A5,60,1,2.7700,1,1,48,45,19.3,102,1,60,,0,0,0,45.0000,48.0000,19.3000,110.0000,0.0000,5
39980T3R A100M1,MAP,14082301,A5005562,BR,A5,60,1,2.7700,1,1,48,45,19.3,102,1,60,,0,0,0,45.0000,48.0000,19.3000,110.0000,0.0000,5
39980TZ3 A700M1,MAP,14082301,A5004903,BR,A5,30,1,2.6700,1,1,48,45,19.3,102,1,30,,4,9,10,45.0000,48.0000,19.3000,107.0000,0.0000,5
39980TZ3 A800M1,MAP,14082301,A5004903,BR,A5,30,1,2.6700,1,1,48,45,19.3,102,1,30,,4,9,10,45.0000,48.0000,19.3000,107.0000,0.0000,5
39980TZ3 Y700M1,MAP,14082301,A5004903,BR,A5,30,1,2.6700,1,1,48,45,19.3,102,1,30,,4,9,10,45.0000,48.0000,19.3000,107.0000,0.0000,5
39980TZ4 A700M1,MAP,14082301,A5004903,BR,A5,30,1,2.6700,1,1,48,45,19.3,102,1,30,,4,9,10,45.0000,48.0000,19.3000,107.0000,0.0000,5
39980TZ4 A800M1,MAP,14082301,A5004903,BR,A5,30,1,2.6700,1,1,48,45,19.3,102,1,30,,4,9,10,45.0000,48.0000,19.3000,107.0000,0.0000,5
39980TZ4 Y700M1,MAP,14082301,A5004903,BR,A5,30,1,2.6700,1,1,48,45,19.3,102,1,30,,4,9,10,45.0000,48.0000,19.3000,107.0000,0.0000,5
39980TZ7 A700M1,MAP,14082301,A5005153,BR,A5,30,1,2.6700,1,1,48,45,19.3,102,1,30,,9,4,8,45.0000,48.0000,19.3000,110.0000,0.0000,5
39980TZ7 A800M1,MAP,14082301,A5005153,BR,A5,30,1,2.6700,1,1,48,45,19.3,102,1,30,,9,4,8,45.0000,48.0000,19.3000,110.0000,0.0000,5
40100TGY A500M1,MAP,50561101,FN2UW00001,AC,FN,30,1,36.3000,1,0,115,48.5,51.81,890,1,30,NULL,0,0,0,115.0000,48.5000,53.8100,890.0000,0.0000,2
40100TGZ A500M1,MAP,50561101,FN2UW00001,AC,FN,30,1,37.7000,1,0,115,48.5,51.81,890,1,30,NULL,0,0,0,115.0000,48.5000,53.8100,890.0000,0.0000,2
40100TGZAA500M1,MAP,50561101,FN2UW00001,AC,FN,30,1,37.7000,1,0,115,48.5,51.81,890,1,30,NULL,0,0,0,115.0000,48.5000,53.8100,890.0000,0.0000,2
40100TLA A000M1,MAP,50561101,SR005237,AC,SR,30,1,22.2400,1,0,115,48,51,1228,1,30,,0,0,0,115.0000,48.0000,53.0000,890.0000,0.0000,2
40100TZ7 A000M1,MAP,50561101,SR005237,AC,SR,30,1,26.0000,1,0,115,48,51,1228,1,30,,0,0,0,115.0000,48.0000,53.0000,890.0000,0.0000,2
40540TGY A000,MAP,51628204,C2,C,C2,30,4,0.3680,1,1,23.62,22.18,7.25,9.6,4,30,,0,0,0,45.0000,48.0000,46.0000,286.6400,56.0000,NULL
40540TZ7 A000,MAP,06102406,C2,C,C2,60,4,0.1900,1,1,23.62,22.18,7.25,9.6,4,60,,0,0,0,45.0000,48.0000,46.0000,286.6400,56.0000,2
40541TLA A000,MAP,06102406,C2,C,C2,30,4,0.4850,1,1,23.62,22.18,7.25,9.6,4,30,,0,0,0,45.0000,48.0000,46.0000,286.6400,56.0000,2
