BASEPARTNUMBER,PLANTCODE,PROCESSLOCATION1,RCMID,PACKRANKNAME,PACKTYPECODE,CONTAINERQUANTITY,CONTAINERPERPALLET,PARTWEIGHT,TDPVERSION,PERPACKDUNNAGEPIECES,PACKLENGTH,PACKWIDTH,PACKHEIGHT,PACKEMPTYWEIGHT,CONTAINERSPERPALLET,QUANTITYPERCONTAINER,TOOLINGNUMBER,CELLDIMLENGTH,CELLDIMWIDTH,CELLDIMHEIGHT,OVERALLPACKLENGTH,OVERALLPACKWIDTH,OVERALLPACKHEIGHT,OVERALLPACKWEIGHT,PALLETWEIGHT,TRAILERSTACKING
39681TVA A000M1,MAP,18115607,XX,D,XX,500,24,0.0150,1,0,19.75,11.87,8.25,1.9,1,500,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2
39681TZ3 A200M1,MAP,52095704,XX,D,XX,250,1,NULL,1,0,22,18.9,9.45,1,1,250,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2
39681TZ3 A300M1,MAP,52095704,XX,D,XX,250,1,NULL,1,0,22,18.9,9.45,1,1,250,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2
39681TZ3 A400M1,MAP,52095704,XX,D,XX,175,1,NULL,1,0,22,18.9,9.45,1,1,175,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2
39681TZ3 A500M1,MAP,52095704,XX,D,XX,150,1,NULL,1,0,22,18.9,9.45,1,1,150,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2
39681TZ5 A200M1,MAP,52095704,XX,D,XX,350,1,NULL,1,0,22,18.9,9.45,1,1,350,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2
39683TVA A000M1,MAP,18115607,XX,D,XX,500,24,0.0150,1,0,19.75,11.87,8.25,1.9,1,500,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2
39683TVA A100M1,MAP,18115607,XX,D,XX,500,24,0.0150,1,0,19.75,11.87,8.25,1.9,1,500,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2
39684TVA A000M1,MAP,18115607,XX,D,XX,500,24,0.0150,1,0,19.75,11.87,8.25,1.9,1,500,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2
39686TGV A400M1,MAP,18115607,XX,D,XX,500,1,0.0150,1,0,19.75,11.87,8.25,1.9,1,1000,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1
39686TZ3 A200M1,MAP,52095704,XX,D,XX,250,1,NULL,1,0,22,18.9,9.45,1,1,250,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2
39686TZ3 A400M1,MAP,52095704,XX,D,XX,175,1,NULL,1,0,22,18.9,9.45,1,1,175,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2
39686TZ3 A500M1,MAP,52095704,XX,D,XX,150,1,NULL,1,0,22,18.9,9.45,1,1,150,,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,2
39710TGV A100M1,MAP,16061006,C000000190,BR,C,6,4,3.1900,1,2,23.62,22.18,13.68,12.3,4,6,NULL,19.5,17.5,3,45.0000,48.0000,45.5000,203.6000,56.0000,2
39710TGZ A200M1,MAP,16061006,C000000190,BR,C,6,4,3.1200,1,2,23.62,22.18,13.68,12.3,4,6,NULL,19.5,17.5,3,45.0000,48.0000,45.5000,203.6000,56.0000,2
39710TGZAA200M1,MAP,16061006,C000000190,BR,C,6,4,3.1200,1,2,23.62,22.18,13.68,12.3,4,6,NULL,19.5,17.5,3,45.0000,48.0000,45.5000,203.6000,56.0000,2
39710TLA A200M1,MAP,16061006,C0005636,BR,C,10,4,2.0500,1,2,23.62,22.18,13.68,12.3,4,10,,0,0,0,45.0000,48.0000,45.5000,275.6000,56.0000,2
39710TVA A000M1,MAP,01162005,A100000094,BR,A1,30,1,2.2300,1,6,48,45,25,119,1,30,NULL,48,45,8,45.0000,48.0000,25.0000,149.0000,0.0000,4
39710TVA A100M1,MAP,01162005,A100000094,BR,A1,30,1,2.2300,1,6,48,45,25,119,1,30,NULL,48,45,8,45.0000,48.0000,25.0000,149.0000,0.0000,4
39710TVA A200M1,MAP,01162005,A100000094,BR,A1,30,1,2.2300,1,6,48,45,25,119,1,30,NULL,48,45,8,45.0000,48.0000,25.0000,149.0000,0.0000,4
39710TVA F200M1,MAP,01162005,A100000094,BR,A1,30,1,2.2300,1,6,48,45,25,119,1,30,NULL,48,45,8,45.0000,48.0000,25.0000,149.0000,0.0000,4
39710TVA K100M1,MAP,01162005,A100000094,BR,A1,30,1,2.2300,1,6,48,45,25,119,1,30,NULL,48,45,8,45.0000,48.0000,25.0000,149.0000,0.0000,4
39710TX6 A300M1,MAP,16061006,A500000098,BR,A5,30,1,1.6000,1,5,45,48,19.3,102,1,30,NULL,9,7,12,45.0000,48.0000,19.3000,112.0000,0.0000,NULL
